,review,rating
52,Píše sa síce že výdrž batérie je len 18 hodín ale je to za predpokladu že človek robí nejakú fyzickú aktivitu a počúva cez ne hudbu atď. Reálne mám skúsené na nabitie cca 52 hodín pri bežnom dni a sedavej robote. Je tam ešte aj viac nadstavení ktoré výdrž môžu predĺžiť ako napríklad režim nízkej spotreby.,100
53,Vetsi obrazovka znamena lepsi rychly nahled,100
54,Super,100
55,Jas displeje na slunci,100
56,Apple Watch ma sprevádzajú už niekoľko generácii. Hodinky perfektne fungujú s iPhone a ich funkcie plnohodnotne spĺňajú všetko čo potrebujem,100
57,design,100
58,"Na internetu se psalo, že hodinky nemají měření saturace krvinek kyslíkem v krvi, ale má. Baterie zatím drží téměř 2 dny, což je super.",100
59,Prodloužená ruka telefonu,80
60,"Přesně sedí na ruce, trošku náročné na ovládání,",100
61,vzhled,100
62,Tenčí a větší display,100
63,Pořád nejlepší chytré hodinky pro iPhone,100
64,Nový štíhlejší design s větším displayem lépe padne na ruku,100
65,Jako dlouholetý uživatel Apple hodnotím kladně,100
66,Delší vydrž baterie než u starších modelu,80
67,Je to proste Apple,100
68,Výdrž batérie,100
69,watchOS,40
70,Velky displej,100
71,"super, kto má jablko",100
72,"Nemusím pořád tahat mobil z kapsy, abych se podíval kolik je hodin.",100
73,Hodiny fungují bez problemů,60
74,Na baterce vydrží jeden den.,100
75,Apple,100
76,"Dobře vypadají,fungují jak mají.",100
77,"jsem spokojena, jsou to již druhé Apple Watch, předešlé SE, spokojenost",100
78,Povedený kousek elektroniky..nezbytná součást k produktům od Applu.. maximální spokojenost.. určitě doporučuji..,100
79,jasná kvalita a zpracování,80
80,vše ok,100
81,"Nechal jsem aplikovat ochrannou fólii, a hrůza druhý den se odlepila , takových lidi víc , co neumí udělat svou práci pořádně",20
82,super kvalita od  ,100
83,Hodinky super,100
84,"Velmi pěkné, kvalitní hodinky",100
85,Titanové tělo je lehké a zároveň pevné,100
86,Dárek pro syna a ten je z hodinek nadšený,100
87,Lepší než serie 8,80
88,Kvalita,100
89,Hodinky peckovni.,100
90,Skvěle sedí pro ženy a děti,100
91,Oprava v autorizovaném servisu stojí stejně jako nové hodinky.,100
92,funguje dle očekávání,100
93,Vše funguje jak má,100
94,snadné ovládání ,100
95,"Nemusím pořád tahat mobil z kapsy, abych se podíval kolik je hodin.",100
96,Hodiny fungují bez problemů,60
97,jasná kvalita a zpracování,80
98,super kvalita od  ,100
99,Hodinky super,100
100,Kvalita,100
101,Hodinky peckovni.,100
102,funguje dle očekávání,100
103,Nosim pořád,80
104,"Snadnější přístup k základním informacím - komunikace, počasí, upozornění atd...",100
105,Prostě apple,100
106,Zatím čekám až se předchozí majitel uráčí smazat svoje Apple ID,40
107,Ekosystém Apple,100
108,S hodinky jsem nadmíru spokojený,100
109,Hezký design,80
110,Velmi pozitivně mě překvapila možnost přehrávat muziku přímo z hodinek a nahlas!!!,100
111,Apple produkt,100
112,"Naprosto neodolné, sklíčko je totální šrot.... poškrábalo se ani nevím jak, budu reklamovat za tu cenu se to nemůže poškrábat ze vzduchu ... sorry jako",40
113,"Ovládání, rychlost odezvy",100
114,při normálním užití výdrž baterie 48 hodin,100
115,ideální velikost na ruce,100
116,super Apple hodinky k super telefonu Apple iPhone 16 Pro Max telefonu,100
117,Velký dispej,100
118,Vzhľad úplna topka,80
119,"Da sa to sparovať iba s IOS 18!!!!!!!!! Az po update 18.2 , sa na iphonoch vybija rychlo baterka. hodinky vratene.",20
120,vsetko mozne co pisali ostatni ale bohuzial pre mna nedostatocne,40
121,Som s hodinkami spokojna,80
122,meranie teploty vody,100
123,Expresne rýchle doručenie,100
124,Na baterce vydrží jeden den.,100
125,Apple,100
126,"Dobře vypadají,fungují jak mají.",100
127,"jsem spokojena, jsou to již druhé Apple Watch, předešlé SE, spokojenost",100
128,Vetsi obrazovka znamena lepsi rychly nahled,100
129,Povedený kousek elektroniky..nezbytná součást k produktům od Applu.. maximální spokojenost.. určitě doporučuji..,100
130,Hodinky jsou velmi dobře zpravované.,100
131,Černé piano mnohem lepší než mat,100
132,"je to fajn, prešiel som z watch 5, je to urcity rozdiel, hoci primarne pouzivam tieto hodinky predovsetkym na pohodlne platenie, kedze furt zabudam penazenku a kartu...",60
133,rýchlosť,100
134,"Nemusím pořád tahat mobil z kapsy, abych se podíval kolik je hodin.",100
135,Hodiny fungují bez problemů,60
136,Na baterce vydrží jeden den.,100
137,Apple,100
138,"Dobře vypadají,fungují jak mají.",100
139,"jsem spokojena, jsou to již druhé Apple Watch, předešlé SE, spokojenost",100
140,Vetsi obrazovka znamena lepsi rychly nahled,100
141,Povedený kousek elektroniky..nezbytná součást k produktům od Applu.. maximální spokojenost.. určitě doporučuji..,100
142,jasná kvalita a zpracování,80
143,Super,100
144,vše ok,100
145,"Nechal jsem aplikovat ochrannou fólii, a hrůza druhý den se odlepila , takových lidi víc , co neumí udělat svou práci pořádně",20
146,super kvalita od  ,100
147,Hodinky super,100
148,"Velmi pěkné, kvalitní hodinky",100
149,Titanové tělo je lehké a zároveň pevné,100
150,Dárek pro syna a ten je z hodinek nadšený,100
151,Lepší než serie 8,80
152,Kvalita,100
153,Jas displeje na slunci,100
154,Hodinky peckovni.,100
155,Skvěle sedí pro ženy a děti,100
156,Apple Watch ma sprevádzajú už niekoľko generácii. Hodinky perfektne fungujú s iPhone a ich funkcie plnohodnotne spĺňajú všetko čo potrebujem,100
157,Oprava v autorizovaném servisu stojí stejně jako nové hodinky.,100
158,funguje dle očekávání,100
159,Vše funguje jak má,100
160,snadné ovládání ,100
161,Prijemne na noseni super design,100
162,Spokojenost,100
163,Přítelkyně je happy,100
164,Splňuje všechna očekávání.,100
165,Super,100
166,Slabá výdrž batérie,100
167,"Přechod ze starších Apple Watch Series 6 na novou desítku nepřináší revoluci, ale několik drobných vylepšení, která ve výsledku potěší. Mezi hlavní výhody patří výrazně lepší displej – je jasnější a mnohem lépe čitelný i na přímém slunci, což je fajn zejména při sportu nebo běžném pohybu venku. Hodinky také působí na ruce příjemněji, jsou lehčí a ergonomicky lépe padnou. Oceňuji i mírně delší výdrž baterie, která bez problémů zvládne celý den aktivního používání. Celkový výkon je spolehlivý a plynulý – systém funguje bez záseků a senzory reagují přesně. Tradičně vysoká kvalita zpracování a prémiové materiály.",100
168,Nosim pořád,80
169,Presně podle očekávání a rychlé dodání,100
170,"Snadnější přístup k základním informacím - komunikace, počasí, upozornění atd...",100
171,"Nechal jsem aplikovat ochrannou fólii, a hrůza druhý den se odlepila , takových lidi víc , co neumí udělat svou práci pořádně",20
172,"Hezčí, větší, rychlejší",100
173,Perfektní,100
174,Uživatelské prostředí,80
175,Klasické Apple Watch,100
176,funkcie,100
177,"Splňajú vsetko, co som od nich ocakavala, tak ako vzdy",100
178,"Nemusím pořád tahat mobil z kapsy, abych se podíval kolik je hodin.",100
179,Hodiny fungují bez problemů,60
180,Na baterce vydrží jeden den.,100
181,Apple,100
182,"Dobře vypadají,fungují jak mají.",100
183,"jsem spokojena, jsou to již druhé Apple Watch, předešlé SE, spokojenost",100
184,Vetsi obrazovka znamena lepsi rychly nahled,100
185,Povedený kousek elektroniky..nezbytná součást k produktům od Applu.. maximální spokojenost.. určitě doporučuji..,100
186,jasná kvalita a zpracování,80
187,Super,100
188,vše ok,100
189,super kvalita od  ,100
190,Hodinky super,100
191,"Velmi pěkné, kvalitní hodinky",100
192,Titanové tělo je lehké a zároveň pevné,100
193,Dárek pro syna a ten je z hodinek nadšený,100
194,Lepší než serie 8,80
195,Kvalita,100
196,Jas displeje na slunci,100
197,Hodinky peckovni.,100
198,Skvěle sedí pro ženy a děti,100
199,Apple Watch ma sprevádzajú už niekoľko generácii. Hodinky perfektne fungujú s iPhone a ich funkcie plnohodnotne spĺňajú všetko čo potrebujem,100
200,Oprava v autorizovaném servisu stojí stejně jako nové hodinky.,100
201,funguje dle očekávání,100
202,Povedený kousek elektroniky..nezbytná součást k produktům od Applu.. maximální spokojenost.. určitě doporučuji..,100
203,Splňuje všechna očekávání.,100
204,Super,100
205,Manželka spokojená po přechodu z modelu SE,100
206,"Proti předchozím výrazně větší aktivní část dipsleje, při podobných rozměrech",100
207,Používam len týždeň ale baterka mi vydrží celý deň. Vrátane spánku a cvičenia. Ráno nabijem na 100% okolo 8. Na budúci deň v rovnaký čas mám približne 40%.,100
208,Prostě Apple,100
209,Výdrž baterie,100
210,Krásně vypadají,100
211,Velmi dobry naramok,80
212,"Nemusím pořád tahat mobil z kapsy, abych se podíval kolik je hodin.",100
213,Hodiny fungují bez problemů,60
214,Na baterce vydrží jeden den.,100
215,Apple,100
216,"Dobře vypadají,fungují jak mají.",100
217,"jsem spokojena, jsou to již druhé Apple Watch, předešlé SE, spokojenost",100
218,Vetsi obrazovka znamena lepsi rychly nahled,100
219,jasná kvalita a zpracování,80
220,Super,100
221,vše ok,100
222,"Nechal jsem aplikovat ochrannou fólii, a hrůza druhý den se odlepila , takových lidi víc , co neumí udělat svou práci pořádně",20
223,super kvalita od  ,100
224,Hodinky super,100
225,"Velmi pěkné, kvalitní hodinky",100
226,Titanové tělo je lehké a zároveň pevné,100
227,Dárek pro syna a ten je z hodinek nadšený,100
228,Lepší než serie 8,80
229,Kvalita,100
230,Jas displeje na slunci,100
231,Hodinky peckovni.,100
232,Skvěle sedí pro ženy a děti,100
233,Apple Watch ma sprevádzajú už niekoľko generácii. Hodinky perfektne fungujú s iPhone a ich funkcie plnohodnotne spĺňajú všetko čo potrebujem,100
234,Oprava v autorizovaném servisu stojí stejně jako nové hodinky.,100
235,funguje dle očekávání,100
236,Vše funguje jak má,100
237,snadné ovládání ,100
238,Prijemne na noseni super design,100
239,Spokojenost,100
240,Přítelkyně je happy,100
241,Slabá výdrž batérie,100
242,"Přechod ze starších Apple Watch Series 6 na novou desítku nepřináší revoluci, ale několik drobných vylepšení, která ve výsledku potěší. Mezi hlavní výhody patří výrazně lepší displej – je jasnější a mnohem lépe čitelný i na přímém slunci, což je fajn zejména při sportu nebo běžném pohybu venku. Hodinky také působí na ruce příjemněji, jsou lehčí a ergonomicky lépe padnou. Oceňuji i mírně delší výdrž baterie, která bez problémů zvládne celý den aktivního používání. Celkový výkon je spolehlivý a plynulý – systém funguje bez záseků a senzory reagují přesně. Tradičně vysoká kvalita zpracování a prémiové materiály.",100
243,Nosim pořád,80
244,"Hodinky jsou super ale kdybych věděl, že je nelze nechat opravit tak abych neztratil záruku a zároveň měl jistotu, že zůstanou vodotěsné tak do toho nejdu. Oprava stojí cca 9500,-",100
245,Super,100
246,hodinky splnili očekávání.,100
247,Jsem spokojna,100
248,"zatím je mám krátce, ale fungují skvěle",80
249,Jsou skvělý,100
250,"Doporučuji, iOS",100
251,Velký displej. Hned spojeno s mobilem.,100
252,"Hodinky používám denně, zatím naprostá spokojenost. Ovládání je rychlé, propojení s iPhonem funguje skvěle. Design je elegantní a působí velmi prémiově. Výdrž baterie je možná trochu kratší, ale je možné, že se to ještě upraví podle používání.",100
253,"Přecházel jsem z APPLE Watch SE 44mm 1.generace. Takže pro mě to byl hodně velký skok. Vše na co jsem zvyklý a největší rozdíl je pro mě v displeji a ten v kombinaci s tenkým tělem hodinek vypadá hodně dobře. Navíc má krásný jas na přímém slunci a pozorovací úhly jsou taktéž velice dobré. Výdrž baterie je více jak jeden den, ale neřeším to, protože než se oholím a dám sprchu, tak jsou hodinky, vzhledem k rychlému nabíjení, zcela nabité. Varianta Jet black byla k mému černě titanovému iPhonu jasná volba, ale s tím přichází i fakt, že člověk musí holt dávat větší pozor, protože každý škrábanec zde půjde hodně vidět.",100
254,Podle očekávání OK,100
255,"Bez esim, bývali bychom koupili jiné, kdyby na to prodejce upozornil.",80
256,"Na mensi predlokti doporucuji 42mm…i na malem predlokti vypadaji skvele a zaroven je display dostatecne velky na vse, co potrebujete",100
257,"Supr, měl jsem šestky, ale tyto jsou o 100% lepší",100
258,Nejlepší hodinky pro běžné užívání,100
259,"Ačkoliv výdrž baterie je o něco lepší než u Series 6, od desáté generace bych očekávala větší skok kupředu – stále je nutné nabíjet každý den. Také mě mrzí omezené možnosti výběru řemínků při nákupu mimo oficiální Apple Store, což ztěžuje personalizaci podle vlastního vkusu.",100
260,Vetsi display nez predchozi model,100
261,Dobrý,100
262,Vše funguje jak má,100
263,"Nemusím pořád tahat mobil z kapsy, abych se podíval kolik je hodin.",100
264,Hodiny fungují bez problemů,60
265,Na baterce vydrží jeden den.,100
266,Apple,100
267,"Dobře vypadají,fungují jak mají.",100
268,"jsem spokojena, jsou to již druhé Apple Watch, předešlé SE, spokojenost",100
269,Vetsi obrazovka znamena lepsi rychly nahled,100
270,Povedený kousek elektroniky..nezbytná součást k produktům od Applu.. maximální spokojenost.. určitě doporučuji..,100
271,jasná kvalita a zpracování,80
272,Super,100
273,vše ok,100
274,"Nechal jsem aplikovat ochrannou fólii, a hrůza druhý den se odlepila , takových lidi víc , co neumí udělat svou práci pořádně",20
275,super kvalita od  ,100
276,Hodinky super,100
277,"Velmi pěkné, kvalitní hodinky",100
278,Titanové tělo je lehké a zároveň pevné,100
279,Dárek pro syna a ten je z hodinek nadšený,100
280,Lepší než serie 8,80
281,Kvalita,100
282,Jas displeje na slunci,100
283,Hodinky peckovni.,100
284,Skvěle sedí pro ženy a děti,100
285,Apple Watch ma sprevádzajú už niekoľko generácii. Hodinky perfektne fungujú s iPhone a ich funkcie plnohodnotne spĺňajú všetko čo potrebujem,100
286,Oprava v autorizovaném servisu stojí stejně jako nové hodinky.,100
287,funguje dle očekávání,100
288,Vše funguje jak má,100
289,snadné ovládání ,100
290,Prijemne na noseni super design,100
291,Spokojenost,100
292,Přítelkyně je happy,100
293,Splňuje všechna očekávání.,100
294,Super,100
295,Slabá výdrž batérie,100
296,"Přechod ze starších Apple Watch Series 6 na novou desítku nepřináší revoluci, ale několik drobných vylepšení, která ve výsledku potěší. Mezi hlavní výhody patří výrazně lepší displej – je jasnější a mnohem lépe čitelný i na přímém slunci, což je fajn zejména při sportu nebo běžném pohybu venku. Hodinky také působí na ruce příjemněji, jsou lehčí a ergonomicky lépe padnou. Oceňuji i mírně delší výdrž baterie, která bez problémů zvládne celý den aktivního používání. Celkový výkon je spolehlivý a plynulý – systém funguje bez záseků a senzory reagují přesně. Tradičně vysoká kvalita zpracování a prémiové materiály.",100
297,Nosim pořád,80
298,Presně podle očekávání a rychlé dodání,100
299,"Snadnější přístup k základním informacím - komunikace, počasí, upozornění atd...",100
300,Manželka spokojená po přechodu z modelu SE,100
301,Prostě Apple Watch. Kdo to jednou zkusí už nechce jinak. ,100
302,"Nemusím pořád tahat mobil z kapsy, abych se podíval kolik je hodin.",100
303,Hodiny fungují bez problemů,60
304,Na baterce vydrží jeden den.,100
305,Apple,100
306,"Dobře vypadají,fungují jak mají.",100
307,"jsem spokojena, jsou to již druhé Apple Watch, předešlé SE, spokojenost",100
308,Vetsi obrazovka znamena lepsi rychly nahled,100
309,Povedený kousek elektroniky..nezbytná součást k produktům od Applu.. maximální spokojenost.. určitě doporučuji..,100
310,jasná kvalita a zpracování,80
311,Super,100
312,vše ok,100
313,"Nechal jsem aplikovat ochrannou fólii, a hrůza druhý den se odlepila , takových lidi víc , co neumí udělat svou práci pořádně",20
314,super kvalita od  ,100
315,Hodinky super,100
316,"Velmi pěkné, kvalitní hodinky",100
317,Titanové tělo je lehké a zároveň pevné,100
318,Dárek pro syna a ten je z hodinek nadšený,100
319,Lepší než serie 8,80
320,Kvalita,100
321,Jas displeje na slunci,100
322,Hodinky peckovni.,100
323,Skvěle sedí pro ženy a děti,100
324,Apple Watch ma sprevádzajú už niekoľko generácii. Hodinky perfektne fungujú s iPhone a ich funkcie plnohodnotne spĺňajú všetko čo potrebujem,100
325,Oprava v autorizovaném servisu stojí stejně jako nové hodinky.,100
326,funguje dle očekávání,100
327,Vše funguje jak má,100
328,snadné ovládání ,100
329,Prijemne na noseni super design,100
330,Spokojenost,100
331,Přítelkyně je happy,100
332,Splňuje všechna očekávání.,100
333,Super,100
334,Slabá výdrž batérie,100
335,"Přechod ze starších Apple Watch Series 6 na novou desítku nepřináší revoluci, ale několik drobných vylepšení, která ve výsledku potěší. Mezi hlavní výhody patří výrazně lepší displej – je jasnější a mnohem lépe čitelný i na přímém slunci, což je fajn zejména při sportu nebo běžném pohybu venku. Hodinky také působí na ruce příjemněji, jsou lehčí a ergonomicky lépe padnou. Oceňuji i mírně delší výdrž baterie, která bez problémů zvládne celý den aktivního používání. Celkový výkon je spolehlivý a plynulý – systém funguje bez záseků a senzory reagují přesně. Tradičně vysoká kvalita zpracování a prémiové materiály.",100
336,Nosim pořád,80
337,Presně podle očekávání a rychlé dodání,100
338,"Snadnější přístup k základním informacím - komunikace, počasí, upozornění atd...",100
339,Manželka spokojená po přechodu z modelu SE,100
340,Prostě Apple Watch. Kdo to jednou zkusí už nechce jinak. ,100
341,"Hezčí, větší, rychlejší",100
342,Prostě apple,100
343,hodinky splnili očekávání.,100
344,Nic,100
345,"Měl jsem apple watch 6 a byly super, ale po koupi watch 10 je to něco jiného. Velký displek a na něm vše čtu bez brýlí. Zapomněl jsem zmínit že špatně vidím.",100
346,Píše sa síce že výdrž batérie je len 18 hodín ale je to za predpokladu že človek robí nejakú fyzickú aktivitu a počúva cez ne hudbu atď. Reálne mám skúsené na nabitie cca 52 hodín pri bežnom dni a sedavej robote. Je tam ešte aj viac nadstavení ktoré výdrž môžu predĺžiť ako napríklad režim nízkej spotreby.,100
347,Jsem spokojna,100
348,"zatím je mám krátce, ale fungují skvěle",80
349,Jsou skvělý,100
350,"Doporučuji, iOS",100
351,Velký displej. Hned spojeno s mobilem.,100
352,"Hodinky používám denně, zatím naprostá spokojenost. Ovládání je rychlé, propojení s iPhonem funguje skvěle. Design je elegantní a působí velmi prémiově. Výdrž baterie je možná trochu kratší, ale je možné, že se to ještě upraví podle používání.",100
353,"Přecházel jsem z APPLE Watch SE 44mm 1.generace. Takže pro mě to byl hodně velký skok. Vše na co jsem zvyklý a největší rozdíl je pro mě v displeji a ten v kombinaci s tenkým tělem hodinek vypadá hodně dobře. Navíc má krásný jas na přímém slunci a pozorovací úhly jsou taktéž velice dobré. Výdrž baterie je více jak jeden den, ale neřeším to, protože než se oholím a dám sprchu, tak jsou hodinky, vzhledem k rychlému nabíjení, zcela nabité. Varianta Jet black byla k mému černě titanovému iPhonu jasná volba, ale s tím přichází i fakt, že člověk musí holt dávat větší pozor, protože každý škrábanec zde půjde hodně vidět.",100
354,Podle očekávání OK,100
355,"Bez esim, bývali bychom koupili jiné, kdyby na to prodejce upozornil.",80
